Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=0.45263157894736844; um 
0,0.6590,3.598690858316E+01,1.295852146669E-01,9.534423834870E+00
0,0.6600,3.591555232802E+01,1.285006595096E-01,9.519977738151E+00
0,0.6610,3.584536816546E+01,1.275885851522E-01,9.505575351255E+00
0,0.6620,3.577539431084E+01,1.266792663065E-01,9.491216476102E+00
0,0.6630,3.570562864356E+01,1.257726905041E-01,9.476900915806E+00
0,0.6640,3.563607221415E+01,1.248688453517E-01,9.462628474668E+00
0,0.6650,3.556672333254E+01,1.239677185306E-01,9.448398958165E+00
0,0.6660,3.549758062214E+01,1.230692977960E-01,9.434212172942E+00
0,0.6670,3.542863894596E+01,1.221735709767E-01,9.420067926806E+00
0,0.6680,3.535990512424E+01,1.212805259742E-01,9.405966028712E+00
0,0.6690,3.529137299586E+01,1.203901507625E-01,9.391906288759E+00
0,0.6700,3.522304281664E+01,1.195024333871E-01,9.377888518178E+00
0,0.6710,3.515491595681E+01,1.185396414913E-01,9.363912529329E+00
0,0.6720,3.508698986048E+01,1.175797150475E-01,9.349978135684E+00
0,0.6730,3.501925885156E+01,1.166226412826E-01,9.336085151827E+00
0,0.6740,3.495173084444E+01,1.156684074991E-01,9.322233393442E+00
0,0.6750,3.488439890155E+01,1.147170010751E-01,9.308422677303E+00
0,0.6760,3.481726476610E+01,1.137684094629E-01,9.294652821272E+00
0,0.6770,3.475032539510E+01,1.128226201894E-01,9.280923644283E+00
0,0.6780,3.468358124602E+01,1.118796208547E-01,9.267234966342E+00
0,0.6790,3.461703233455E+01,1.109393991321E-01,9.253586608512E+00
0,0.6800,3.455067776661E+01,1.100019427676E-01,9.239978392911E+00
0,0.6810,3.448544748373E+01,1.091908734748E-01,9.226410142701E+00
0,0.6820,3.442040723993E+01,1.083821826843E-01,9.212881682082E+00
0,0.6830,3.435555474635E+01,1.075758599489E-01,9.199392836281E+00
0,0.6840,3.429089154962E+01,1.067718948823E-01,9.185943431549E+00
0,0.6850,3.422641189915E+01,1.059702771589E-01,9.172533295153E+00
0,0.6860,3.416212027986E+01,1.051709965134E-01,9.159162255364E+00
0,0.6870,3.409801333360E+01,1.043740427403E-01,9.145830141455E+00
0,0.6880,3.403408892045E+01,1.035794056933E-01,9.132536783691E+00
0,0.6890,3.397035011682E+01,1.027870752850E-01,9.119282013323E+00
