# In-plane momentum (1/um), PSD (a.u.)
3.820176666765188429e+02,2.019881631067461740e+03
3.832743037379547673e+02,1.936568495234736247e+03
3.845309407993906916e+02,1.853815886755546671e+03
3.857875778608266160e+02,1.862381070102690501e+03
3.870442149222625403e+02,1.796846523308594669e+03
3.883008519836984078e+02,1.826216398493832003e+03
3.895574890451343322e+02,1.864197570228949189e+03
3.908141261065702565e+02,1.945170954767964304e+03
3.920707631680061809e+02,2.016464093460917866e+03
3.933274002294421052e+02,2.097632583510374843e+03
3.945840372908779727e+02,2.157681018631063580e+03
3.958406743523139539e+02,2.287265364769154985e+03
3.970973114137498783e+02,2.450708964722881774e+03
3.983539484751858026e+02,2.525917703428202913e+03
3.996105855366216701e+02,2.615527870500786321e+03
4.008672225980575945e+02,2.708296665626920458e+03
4.021238596594935188e+02,2.739909743759047615e+03
4.033804967209294432e+02,2.817901195519392331e+03
4.046371337823653676e+02,2.880166665099537568e+03
4.058937708438012351e+02,2.773202430560532775e+03
4.071504079052371594e+02,2.872184911499378359e+03
4.084070449666730838e+02,2.959922588229314897e+03
4.096636820281090081e+02,2.878713263764215753e+03
4.109203190895449325e+02,2.836111680733705725e+03
4.121769561509808000e+02,2.674995141491871436e+03
4.134335932124167812e+02,2.689978239964258591e+03
4.146902302738526487e+02,2.547072739000553611e+03
4.159468673352886299e+02,2.486331396576792486e+03
4.172035043967245542e+02,2.310421548549021281e+03
4.184601414581604217e+02,2.186446343220475228e+03
4.197167785195964029e+02,2.090430038132096342e+03
4.209734155810322704e+02,1.996252078842373976e+03
4.222300526424681948e+02,1.888252628602996992e+03
4.234866897039040623e+02,1.823667910192974432e+03
4.247433267653400435e+02,1.702779133093798691e+03
4.259999638267759110e+02,1.600319273977411513e+03
4.272566008882118922e+02,1.556103694083767550e+03
4.285132379496477597e+02,1.580765536864893193e+03
4.297698750110836841e+02,1.579403750808245604e+03
4.310265120725196653e+02,1.547961125547363736e+03
4.322831491339555328e+02,1.661121216478189126e+03
4.335397861953914571e+02,1.720961516628458412e+03
4.347964232568273246e+02,1.767777401771107634e+03
4.360530603182633058e+02,1.859924341557120670e+03
4.373096973796991733e+02,1.978081042561955201e+03
4.385663344411351545e+02,2.058415323084602278e+03
4.398229715025710220e+02,2.149224167344588295e+03
4.410796085640069464e+02,2.179457899644635745e+03
4.423362456254428139e+02,2.330844457462294940e+03
4.435928826868787951e+02,2.342098287031477412e+03
4.448495197483147194e+02,2.447801113210037784e+03
4.461061568097505869e+02,2.473543976296608889e+03
4.473627938711865681e+02,2.408860963882515080e+03
4.486194309326224356e+02,2.532784787120984220e+03
4.498760679940584168e+02,2.493159350022681338e+03
4.511327050554942844e+02,2.437944954708416390e+03
4.523893421169302087e+02,2.371661545469377870e+03
4.536459791783660762e+02,2.363456102890409966e+03
4.549026162398020574e+02,2.347938316165609194e+03
4.561592533012379818e+02,2.283034676361382026e+03
4.574158903626738493e+02,2.181427471758189313e+03
4.586725274241098305e+02,2.040410641559868054e+03
4.599291644855456980e+02,1.994172983812824214e+03
4.611858015469816792e+02,1.803613046022864637e+03
4.624424386084175467e+02,1.757530905043066468e+03
4.636990756698534710e+02,1.675688270185656620e+03
4.649557127312893385e+02,1.571505243099790277e+03
4.662123497927253197e+02,1.500114456920797920e+03
4.674689868541611872e+02,1.418272963088513507e+03
4.687256239155971116e+02,1.412538141073694078e+03
4.699822609770330928e+02,1.372066656723916140e+03
4.712388980384689603e+02,1.339948641148811475e+03
4.724955350999049415e+02,1.330126005281139669e+03
4.737521721613408090e+02,1.380739331424925695e+03
4.750088092227767333e+02,1.419781014666712736e+03
4.762654462842126009e+02,1.516797951018938420e+03
4.775220833456485821e+02,1.570623940308803867e+03
4.787787204070844496e+02,1.715193822402098476e+03
4.800353574685203739e+02,1.798052931400347688e+03
4.812919945299562414e+02,1.854854337021660740e+03
4.825486315913922226e+02,1.895126586653920185e+03
4.838052686528282038e+02,2.002778297745447844e+03
4.850619057142640713e+02,2.045554971122394136e+03
4.863185427756999957e+02,2.087850606886580863e+03
