# In-plane momentum (1/um), PSD (a.u.)
9.986519693530468089e+01,5.649384552207061461e+03
1.002813019225351212e+02,5.449675542104302622e+03
1.006974069097655615e+02,5.201355560577230790e+03
1.011135118969960018e+02,4.958474220004671224e+03
1.015296168842264279e+02,4.706444480637572269e+03
1.019457218714568683e+02,4.494082254085514251e+03
1.023618268586872944e+02,4.153737916794664670e+03
1.027779318459177347e+02,4.100321363191538694e+03
1.031940368331481750e+02,3.636451885050130386e+03
1.036101418203786011e+02,3.431383200284483792e+03
1.040262468076090414e+02,3.057484578876611522e+03
1.044423517948394959e+02,2.703302697230827107e+03
1.048584567820699220e+02,2.458243018885918445e+03
1.052745617693003624e+02,2.048601702770512929e+03
1.056906667565307885e+02,1.687669806102262328e+03
1.061067717437612288e+02,1.415936289197270753e+03
1.065228767309916691e+02,1.053324073911589494e+03
1.069389817182220952e+02,7.133606924797400097e+02
1.073550867054525355e+02,3.955695285802281660e+02
1.077711916926829616e+02,2.127009732321000683e+02
1.081872966799134019e+02,3.967465301952997265e+02
1.086034016671438422e+02,7.168407667286109017e+02
1.090195066543742826e+02,1.024472921214924781e+03
1.094356116416047229e+02,1.362149445220891948e+03
1.098517166288351632e+02,1.646213999643722218e+03
1.102678216160655893e+02,1.867230350963263390e+03
1.106839266032960296e+02,2.218220561491181797e+03
1.111000315905264557e+02,2.513812973378737297e+03
1.115161365777568960e+02,2.786213318270975833e+03
1.119322415649873363e+02,2.946953081401387863e+03
1.123483465522177625e+02,3.249324190123164044e+03
1.127644515394482028e+02,3.487667103876178771e+03
1.131805565266786431e+02,3.627076918607857806e+03
1.135966615139090834e+02,3.798480974559983679e+03
1.140127665011395237e+02,3.957294940983455490e+03
1.144288714883699498e+02,4.153361399397510468e+03
1.148449764756003901e+02,4.302292497798091063e+03
1.152610814628308304e+02,4.422519743099062907e+03
1.156771864500612566e+02,4.554849387922477035e+03
1.160932914372916969e+02,4.521631937391705833e+03
1.165093964245221230e+02,4.719276348759251050e+03
1.169255014117525633e+02,4.679582578851569451e+03
1.173416063989830036e+02,4.741945121101390214e+03
1.177577113862134439e+02,4.738156249475186087e+03
1.181738163734438842e+02,4.818748476360975474e+03
1.185899213606743103e+02,4.545276272467283889e+03
1.190060263479047507e+02,4.561116002027940340e+03
1.194221313351351910e+02,4.480735446621261872e+03
1.198382363223656171e+02,4.368801962367587294e+03
1.202543413095960574e+02,4.327521911478909715e+03
1.206704462968264835e+02,4.254168924720302130e+03
1.210865512840569238e+02,4.093805179770767154e+03
1.215026562712873641e+02,3.792686137870140556e+03
1.219187612585177902e+02,3.713193667608769374e+03
1.223348662457482448e+02,3.577567689104810142e+03
1.227509712329786851e+02,3.327700246060203881e+03
1.231670762202091112e+02,3.114507400997995774e+03
1.235831812074395515e+02,2.904827895100424030e+03
1.239992861946699776e+02,2.587711372997775015e+03
1.244153911819004179e+02,2.463232203094233682e+03
1.248314961691308582e+02,2.246940415988807672e+03
1.252476011563612843e+02,1.978600575187794902e+03
1.256637061435917246e+02,1.680672357823307493e+03
1.260798111308221507e+02,1.461218591162003577e+03
1.264959161180525911e+02,1.221714247855149097e+03
1.269120211052830456e+02,9.157737572326500413e+02
