Wavelength (um), Flux (#/m2/s/um)
0.6270000427529983,4.5507042868320105e+21
0.6280000427447168,4.30947412368912e+21
0.6290000427362444,4.469276311873589e+21
0.63000004272758,4.416123272195495e+21
0.6310000427187226,4.4984166711307566e+21
0.6320000427096706,4.339149983167449e+21
0.633000042700423,4.6232495490084666e+21
0.6340000426909786,4.559060715411811e+21
0.635000042681336,4.621873589228453e+21
0.6360000426714942,4.5234960526340637e+21
0.6370000426614518,4.685172940030845e+21
0.6380000426512078,4.723682101994171e+21
0.6390000426407605,4.711463473979243e+21
0.640000042630109,4.6202484759409784e+21
0.6410000426192519,4.6300490737383894e+21
0.6420000426081879,4.6463215314445334e+21
0.6430000425969158,4.701789119141582e+21
0.6440000425854341,4.6886769314983444e+21
0.6450000425737418,4.730051003912089e+21
0.6460000425618373,4.6017743291816744e+21
0.6470000425497194,4.5880525075771566e+21
0.6480000425373869,4.5514314942080064e+21
0.6490000425248382,4.4169880238792313e+21
0.6500000425120721,4.448335138153964e+21
0.6510000424990873,4.734724709063766e+21
0.6520000424858822,4.5529404009393417e+21
0.6530000424724557,4.7045636403049047e+21
0.6540000424588063,4.65974959660662e+21
0.6550000424449326,4.451228084303903e+21
0.6560000424308331,3.9137914688949867e+21
0.6570000424165067,4.0990194486452966e+21
0.6580000424019516,4.589538425891766e+21
0.6590000423871666,4.6131007738573593e+21
0.6600000423721503,4.6490067755157883e+21
0.6610000423569011,4.6364181214137014e+21
0.6620000423414175,4.605440844206313e+21
0.6630000423256982,4.6207416992118043e+21
0.6640000423097419,4.66882572926249e+21
0.6650000422935467,4.758544925473335e+21
0.6660000422771112,4.762012582420715e+21
0.6670000422604342,4.735249359663383e+21
0.668000042243514,4.758490018954247e+21
0.6690000422263488,4.847788359013652e+21
0.6700000422089375,4.78825202552902e+21
0.6710000421912783,4.786278300557252e+21
0.6720000421733698,4.726767639056526e+21
0.6730000421552104,4.775134577457642e+21
0.6740000421367984,4.77544382140263e+21
0.6750000421181325,4.743111850438011e+21
0.6760000420992107,4.805268238633636e+21
0.6770000420800318,4.768412104707154e+21
0.6780000420605938,4.801053966885618e+21
0.6790000420408955,4.767458931719664e+21
0.6800000420209349,4.782011196116487e+21
0.6810000420007105,4.770531034204681e+21
